"","polyname","percent_white","per_capita_income","total_2016","perdem_2016","percent_black","median_rent","dem_2016","perrep_2016","region","percent_asian","median_age","gop_2016","total_population","percent_hispanic"
"1","alabama",4410,1372256,2078165,2263.76672217865,1900,26360,718084,4315.59619847358,71489,36,2657.3,1306925,4799277,211
"2","arizona",786,312959,2062810,628.903805785225,27,8820,936250,792.082011271135,60208,17,582,1021154,6479703,450
"3","arkansas",5746,1458239,1108615,2299.19017819126,1198,29178,378729,4904.91877377301,380625,45,3033.9,677904,2933369,355
"4","california",3277,1580806,9631972,2916.37916978646,180,54109,5931283,2535.71253398997,351364,383,2247,3184721,37659181,1676
"5","colorado",4839,1768057,2564185,2342.00778615183,94,43111,1212209,3581.19501614408,515983,67,2651.8,1137455,5119329,1237
"6","connecticut",625,289668,1623542,406.435109290128,49,6889,884432,354.486202424614,72064,27,325.6,668266,3583561,83
"7","delaware",201,84165,441535,144.382010874605,58,2323,235581,141.684514657752,30009,8,119.8,185103,908446,24
"8","district of columbia",35,45290,280272,92.8465918821716,49,1154,260223,4.12206713478335,11001,3,33.8,11553,619371,10
"9","florida",4646,1534597,9386750,2349.78817987001,944,44585,4485745,4155.6752252365,808550,99,2834.7,4605515,19091156,857
"10","georgia",10103,3194910,4029564,5375.17391851562,4463,76359,1837300,10190.821108261,2092677,163,6092.2,2068623,9810417,912
"11","hawaii",112,111171,428825,252.026351045582,3,4437,266827,113.231017044302,60020,124,159.5,128815,1376227,41
"12","idaho",3688,923214,688235,914.048621507419,10,22322,189677,2940.65584859158,705936,26,1705.2,407199,1583364,538
"13","illinois",8968,2527707,5374280,3204.09474388487,505,48438,2977498,6469.40485584848,1744404,102,4165.3,2118179,12848554,449
"14","indiana",8431,2148307,2722029,2541.75265799784,233,46452,1031953,6220.29289589937,1664464,69,3634.2,1556220,6514861,325
"15","iowa",9174,2535940,1542880,3307.8484575631,101,42896,650790,6064.42653711581,1890801,71,4152.2,798923,3062553,400
"16","kansas",9032,2542719,1147143,2158.83087211503,172,42675,414788,7753.76081106301,2111025,71,4355.4,656009,2868107,929
"17","kentucky",11088,2421484,1922218,2785.45966718305,434,48924,628834,8772.48574517118,2534400,46,4789.7,1202942,4361333,254
"18","louisiana",3999,1386154,2027731,2172.17264650604,2024,30203,779535,4061.37608162852,1412096,44,2389.7,1178004,4567968,196
"19","maine",1519,400754,741550,711.12903132936,11,9646,354873,772.981316713293,368256,12,713.3,334838,1328320,18
"20","maryland",1674,785579,2474543,1070.19038880522,474,21349,1497951,1228.45142929222,577079,71,961.9,873646,5834299,124
"21","massachusetts",1127,481815,3231531,864.459056313416,74,13172,1964768,452.114319479502,350196,49,573,1083069,6605058,112
"22","michigan",7375,1894911,4789450,2984.56897210717,313,43134,2267373,4866.84181620371,2164889,72,3582.8,2279210,9886095,257
"23","minnesota",7846,2302351,2916404,2980.18797881708,103,46474,1366676,5077.31130434203,2356569,102,3601.2,1322891,5347740,328
"24","mississippi",4523,1504022,1162987,3462.10909077991,3359,33924,462001,4611.2448334173,2302724,35,3063.5,678457,2976872,170
"25","missouri",10502,2410497,2775098,2608.29547449128,393,47755,1054889,8424.48248950637,3348537,58,4692.7,1585753,6007182,288
"26","montana",4900,1353503,483574,1457.17669124695,11,24485,174521,3800.0066755605,1683136,18,2492.5,274120,998554,130
"27","nebraska",8449,2302319,805638,1670.30175641361,60,36221,273858,7191.16205232791,2891649,43,4044.7,485819,1841625,525
"28","nevada",1257,439311,1122990,435.294726953029,37,10474,537753,1133.8031057024,544774,31,707.3,511319,2730066,278
"29","new hampshire",938,307105,730628,476.174529366159,9,8032,348126,473.406666200483,330100,16,429.8,345598,1319171,19
"30","new jersey",1355,745578,3674893,1089.92172383703,240,20984,2021756,938.649101087694,714441,136,839.4,1535513,8832406,328
"31","new mexico",1439,715597,783127,1357.0880652896,40,16908,380724,1600.33811367167,1155995,19,1347.1,315875,2069706,1519
"32","new york",5106,1711719,7046175,2655.55435355942,356,42881,4143874,3223.33041128637,2235844,160,2510.8,2640570,19487053,436
"33","north carolina",6880,2204228,4629471,3976.80023583545,2028,50566,2162074,5790.08339080373,3710000,100,4091.5,2339603,9651380,663
"34","north dakota",4736,1556643,336968,1221.14071745458,20,22003,93526,3700.68697550843,2016809,20,2336.5,216133,689781,97
"35","ohio",8008,2071767,5325395,2696.487451479,354,43885,2317001,5706.05948141933,3439744,67,3521.3,2771984,11549590,206
"36","oklahoma",5584,1686884,1451056,1544.08669772337,258,31247,419788,5806.80015173186,3085929,44,3017.7,947934,3785742,606
"37","oregon",2963,858732,1808575,1304.90621935639,20,22342,934631,2037.28170995657,1477296,55,1550.7,742506,3868721,394
"38","pennsylvania",5998,1686611,5970107,2198.67560476486,284,36934,2844705,4257.71334311186,2818489,79,2816.6,2912941,12731381,242
"39","rhode island",429,176331,450121,273.841482459581,13,4296,249902,201.158118916617,220025,11,209.4,179421,1051695,33
"40","south carolina",2636,961884,2084444,2043.2135417954,1655,22016,849469,2409.20480740069,2072116,28,1825.8,1143611,4679602,199
"41","south dakota",5366,1587699,370047,1865.98825043037,28,24648,117442,4354.66172029677,3040496,30,2683.1,227701,825198,145
"42","tennessee",8287,1976101,2484691,2264.78941655812,688,41960,867110,6937.49608621166,4474025,46,3893.4,1517402,6402387,289
"43","texas",14852,5794708,8903237,6418.11453128044,1583,121463,3867816,18284.1941041393,12256516,202,9875.9,4681590,25639373,8369
"44","utah",2493,644880,852461,535.109149353014,12,17815,237241,1808.02817780851,1421841,22,965.9,397004,2813673,249
"45","vermont",1328,388741,291413,793.890885674996,10,9850,178179,517.34853138855,700196,10,606.7,95053,625904,19
"46","virginia",9664,3518861,3844787,5413.436568346,2509,90951,1916845,7311.95893090489,6818111,236,5441.1,1731156,8094601,612
"47","washington",3041,986316,2765627,1599.30818911121,48,26004,1523720,2027.33988172957,2068521,97,1602.7,1043648,6819579,506
"48","west virginia",5216,1157410,708226,1230.50203859058,120,22022,187457,4020.24156148644,2973025,15,2360,486198,1853619,58
"49","wisconsin",6491,1826786,2944620,2896.87622378029,102,38505,1382210,3950.16038841531,3965119,71,3034.5,1409467,5706871,234
"50","wyoming",2016,656565,248742,428.871235211371,10,13971,55949,1712.70402912938,1288529,14,912.9,174248,570134,181
