"","polyname","State","StateColor","total_2016","dem_2016","gop_2016","oth_2016","total_population","percent_white","percent_black","percent_asian","percent_hispanic","per_capita_income","median_rent","median_age","percent_democrat2016","percent_republican2016","percent_other2016","Winner","positive","positiveScore","negativeScore","negativeRegularScore","commercialScore","grade","score","negative","pending","hospitalizedCurrently","hospitalizedCumulative","inIcuCurrently","inIcuCumulative","onVentilatorCurrently","onVentilatorCumulative","recovered","lastUpdateEt","checkTimeEt","death","hospitalized","total","totalTestResults","posNeg","fips","dateModified","dateChecked","StayAtHome_date","Quarantine_Yes","na.rm","X","mean_ChinaVirusInterest","mean_KungFluInterest"
"1","alabama","AL","red",2078165,718084,1306925,53156,4799277,0.67,0.26,0.01,0.04,23680,501,38.1,0.34553753,0.628884136,0.025578335,"Republican",5025,1,1,0,1,"B",3,40875,NA,NA,641,NA,260,NA,157,NA,"4/20 00:00","4/20 16:07",167,641,45900,45900,45900,1,2020-04-20,2020-04-20,2020-04-04,1,TRUE,2,22,3
"2","alaska","AK","red",318608,116454,163387,38767,741456,0.65,0.04,0.07,0.07,34922,NA,34.7,0.365508713,0.512815121,0.121676166,"Republican",321,1,1,1,1,"A",4,9803,NA,46,36,NA,NA,NA,NA,161,"4/20 14:00","4/20 14:17",9,36,10124,10124,10124,2,2020-04-20,2020-04-20,2020-03-28,1,TRUE,1,26,3.66666666666667
"3","arizona","AZ","red",2062810,936250,1021154,105406,6479703,0.57,0.04,0.03,0.3,25358,747,36.3,0.453871176,0.495030565,0.051098259,"Republican",5064,1,1,0,1,"B",3,49436,NA,637,NA,285,NA,181,NA,1155,"4/20 00:00","4/20 14:27",187,NA,54500,54500,54500,4,2020-04-20,2020-04-20,2020-03-30,1,TRUE,4,52.3333333333333,4.33333333333333
"4","arkansas","AR","red",1108615,378729,677904,51982,2933369,0.74,0.15,0.01,0.07,22170,480,37.5,0.341623557,0.611487306,0.046889136,"Republican",1923,1,1,1,1,"A",4,24630,NA,93,291,NA,NA,24,57,749,"4/20 14:30","4/20 16:17",42,291,26553,26553,26553,5,2020-04-20,2020-04-20,NA,0,TRUE,3,39.2666666666667,3.53333333333333
"5","california","CA","blue",9631972,5931283,3184721,515968,37659181,0.4,0.06,0.13,0.38,29527,1119,35.4,0.615791138,0.3306406,0.053568262,"Democrat",30978,1,1,0,1,"B",3,259522,NA,4674,NA,1480,NA,NA,NA,NA,"4/19 00:00","4/20 16:16",1208,NA,290500,290500,290500,6,2020-04-19,2020-04-20,2020-03-19,1,TRUE,5,36.3333333333333,3.06666666666667
"6","colorado","CO","blue",2564185,1212209,1137455,214521,5119329,0.7,0.04,0.03,0.21,31109,825,36.1,0.472746311,0.443593188,0.0836605,"Democrat",9730,1,1,1,1,"A",4,36465,NA,874,1813,NA,NA,NA,NA,NA,"4/19 16:06","4/20 14:28",422,1813,46195,46195,46195,8,2020-04-19,2020-04-20,2020-03-26,1,TRUE,6,31.6666666666667,3.66666666666667
"7","connecticut","CT","blue",1623542,884432,668266,70844,3583561,0.7,0.09,0.04,0.14,37892,880,40.2,0.544754617,0.411609924,0.043635459,"Democrat",19815,1,1,1,1,"A",4,42991,NA,1919,NA,NA,NA,NA,NA,NA,"4/20 16:00","4/20 16:21",1331,NA,62806,62806,62806,9,2020-04-20,2020-04-20,2020-03-23,1,TRUE,7,44,4.93333333333333
"8","delaware","DE","blue",441535,235581,185103,20851,908446,0.65,0.21,0.03,0.08,29819,828,38.9,0.533550002,0.419226109,0.047223889,"Democrat",2745,1,1,1,1,"A",4,13725,NA,256,NA,NA,NA,NA,NA,495,"4/20 12:00","4/20 14:34",72,NA,16470,16470,16470,10,2020-04-20,2020-04-20,2020-03-24,1,TRUE,9,39.1333333333333,3.6
"9","district of columbia","DC","blue",280272,260223,11553,8496,619371,0.35,0.49,0.03,0.1,45290,1154,33.8,0.928465919,0.041220671,0.03031341,"Democrat",2927,1,1,1,1,"A",4,11186,NA,402,NA,120,NA,69,NA,630,"4/19 00:00","4/20 16:17",105,NA,14113,14113,14113,11,2020-04-19,2020-04-20,NA,NA,NA,8,17.8,2.13333333333333
"10","florida","FL","purple",9386750,4485745,4605515,295490,19091156,0.57,0.15,0.02,0.23,26236,838,41,0.477880523,0.490639998,0.031479479,"Republican",26660,1,1,1,1,"A",4,239565,1104,NA,4010,NA,NA,NA,NA,NA,"4/20 09:28","4/20 14:36",806,4010,267329,266225,266225,12,2020-04-20,2020-04-20,2020-04-03,1,TRUE,10,42.4666666666667,2.4
"11","georgia","GA","purple",4029564,1837300,2068623,123641,9810417,0.55,0.3,0.03,0.09,25182,673,35.6,0.455955036,0.513361495,0.030683468,"Republican",18947,1,1,1,1,"A",4,65381,NA,NA,3550,NA,NA,NA,NA,NA,"4/20 11:27","4/20 14:21",733,3550,84328,84328,84328,13,2020-04-20,2020-04-20,2020-04-03,1,TRUE,11,38.7333333333333,3.66666666666667
"12","hawaii","HI","blue",428825,266827,128815,33183,1376298,0.23,0.02,0.37,0.09,29305,1220,38.3,0.622228182,0.300390602,0.077381216,"Democrat",580,1,1,1,1,"A",4,23595,NA,NA,52,NA,NA,NA,NA,414,"4/19 18:00","4/20 14:50",10,52,24175,24175,24175,15,2020-04-19,2020-04-20,2020-03-25,1,TRUE,12,32.7333333333333,2.6
"13","idaho","ID","purple",688235,189677,407199,91359,1583364,0.84,0.01,0.01,0.11,22568,607,34.9,0.275599178,0.59165692,0.132743903,"Republican",1672,1,1,1,1,"A",4,15773,NA,NA,151,NA,53,NA,NA,585,"4/19 19:00","4/20 15:27",45,151,17445,17445,17445,16,2020-04-19,2020-04-20,2020-03-25,1,TRUE,14,28,4
"14","illinois","IL","blue",5374280,2977498,2118179,278603,12848554,0.63,0.14,0.05,0.16,29666,759,36.8,0.55402733,0.394132609,0.05184006,"Democrat",31508,1,1,1,1,"A",4,116850,NA,4599,NA,1239,NA,757,NA,NA,"4/20 00:00","4/20 16:04",1349,NA,148358,148358,148358,17,2020-04-20,2020-04-20,2020-03-21,1,TRUE,15,47.2666666666667,6.4
"15","indiana","IN","red",2722029,1031953,1556220,133856,6514861,0.81,0.09,0.02,0.06,24635,577,37.1,0.379111685,0.571713233,0.049175082,"Republican",11686,1,1,1,0,"B",3,52953,NA,NA,NA,669,NA,353,NA,NA,"4/19 23:59","4/20 15:51",569,NA,64639,64639,64639,18,2020-04-20,2020-04-20,2020-03-24,1,TRUE,16,37.4666666666667,2.93333333333333
"16","iowa","IA","blue",1542880,650790,798923,93167,3062553,0.88,0.03,0.02,0.05,27027,534,38.1,0.421802084,0.517812792,0.060385124,"Republican",3159,1,1,1,1,"A",4,22661,NA,214,NA,91,NA,58,NA,1235,"4/19 12:00","4/20 14:31",79,NA,25820,25820,25820,19,2020-04-19,2020-04-20,NA,0,TRUE,13,35.9333333333333,4.06666666666667
"17","kansas","KS","red",1147143,414788,656009,76346,2868107,0.78,0.06,0.02,0.11,26929,551,36,0.361583517,0.571863316,0.066553167,"Republican",1986,1,1,1,0,"B",3,16775,NA,NA,405,NA,NA,NA,NA,NA,"4/20 12:00","4/20 14:41",100,405,18761,18761,18761,20,2020-04-20,2020-04-20,2020-03-30,1,TRUE,17,26.8666666666667,2.06666666666667
"18","kentucky","KY","red",1922218,628834,1202942,90442,4361333,0.86,0.08,0.01,0.03,23462,506,38.2,0.327139794,0.625809351,0.047050855,"Republican",2960,1,1,1,1,"A",4,29612,NA,274,1059,155,534,NA,NA,1174,"4/19 17:00","4/20 16:07",148,1059,32572,32572,32572,21,2020-04-19,2020-04-20,2020-03-26,1,TRUE,18,36.2666666666667,3.4
"19","louisiana","LA","red",2027731,779535,1178004,70192,4567968,0.6,0.32,0.02,0.04,24442,610,36,0.384437088,0.580946881,0.034616031,"Republican",24523,1,1,1,1,"A",4,117576,NA,1794,NA,NA,NA,332,NA,NA,"4/20 13:00","4/20 14:45",1328,NA,142099,142099,142099,22,2020-04-20,2020-04-20,2020-03-23,1,TRUE,19,49.3333333333333,1.86666666666667
"20","maine","ME","red",741550,354873,334838,51839,1328320,0.94,0.01,0.01,0.01,26824,664,43.2,0.478555728,0.451537995,0.069906277,"Democrat",875,1,1,1,1,"A",4,14076,NA,39,138,16,NA,9,NA,414,"4/20 11:15","4/20 15:21",35,138,14951,14951,14951,23,2020-04-20,2020-04-20,2020-04-02,1,TRUE,22,50,4.6
"21","maryland","MD","blue",2474543,1497951,873646,102946,5834299,0.54,0.29,0.06,0.08,36354,1034,38,0.605344502,0.353053473,0.041602025,"Democrat",13684,1,1,1,1,"A",4,57713,NA,NA,3014,NA,NA,NA,NA,917,"4/20 10:00","4/20 14:58",516,3014,71397,71397,71397,24,2020-04-20,2020-04-20,2020-03-30,1,TRUE,21,41.8,3.13333333333333
"22","massachusetts","MA","purple",3231531,1964768,1083069,183694,6605058,0.76,0.06,0.06,0.1,35763,936,39.2,0.607999119,0.335156618,0.056844264,"Democrat",38077,1,1,0,1,"B",3,124164,NA,3729,NA,987,NA,NA,NA,NA,"4/19 16:00","4/20 16:15",1706,NA,162241,162241,162241,25,2020-04-19,2020-04-20,2020-03-24,1,TRUE,20,39.4666666666667,2.46666666666667
"23","michigan","MI","blue",4789450,2267373,2279210,242867,9886095,0.76,0.14,0.03,0.05,25681,623,39.1,0.47340989,0.475881364,0.050708745,"Republican",32000,1,1,0,1,"B",3,81798,NA,3374,NA,1346,NA,1102,NA,3237,"4/20 11:00","4/20 16:01",2468,NA,113798,113798,113798,26,2020-04-20,2020-04-20,2020-03-24,1,TRUE,23,51.8,5.93333333333333
"24","minnesota","MN","blue",2916404,1366676,1322891,226837,5347740,0.83,0.05,0.04,0.05,30913,734,37.6,0.468616831,0.453603479,0.07777969,"Democrat",2470,1,1,1,1,"A",4,44380,NA,237,602,126,241,NA,NA,1202,"4/20 12:00","4/20 15:14",143,602,46850,46850,46850,27,2020-04-20,2020-04-20,2020-03-27,1,TRUE,24,40.7333333333333,5.46666666666667
"25","mississippi","MS","red",1162987,462001,678457,22529,2976872,0.58,0.37,0.01,0.03,20618,510,36.2,0.397253796,0.583374535,0.01937167,"Republican",4512,1,1,1,1,"A",4,46922,NA,548,819,146,NA,89,NA,NA,"4/19 19:00","4/20 15:10",169,819,51434,51434,51434,28,2020-04-19,2020-04-20,2020-04-03,1,TRUE,26,36.6,3.6
"26","missouri","MO","purple",2775098,1054889,1585753,134456,6007182,0.81,0.11,0.02,0.04,25649,549,38,0.380126756,0.571422343,0.048450902,"Republican",5807,1,1,1,1,"A",4,50206,NA,873,NA,NA,NA,NA,NA,NA,"4/20 15:00","4/20 15:12",177,NA,56013,56013,56013,29,2020-04-20,2020-04-20,2020-04-03,1,TRUE,25,51.3333333333333,13.2
"27","montana","MT","red",483574,174521,274120,34933,998554,0.87,0,0.01,0.03,25373,577,39.9,0.360898229,0.566862569,0.072239202,"Republican",433,1,1,1,1,"A",4,10618,NA,19,57,NA,NA,NA,NA,243,"4/20 11:00","4/20 15:01",10,57,11051,11051,11051,30,2020-04-20,2020-04-20,2020-03-28,1,TRUE,27,30.8666666666667,1.86666666666667
"28","nebraska","NE","red",805638,273858,485819,45961,1841625,0.82,0.04,0.02,0.09,26899,563,36.3,0.339926865,0.603023939,0.057049196,"Republican",1474,1,1,1,1,"A",4,14206,NA,NA,NA,NA,NA,NA,NA,NA,"4/19 19:45","4/20 14:53",28,NA,15680,15680,15680,31,2020-04-19,2020-04-20,NA,0,TRUE,30,36.6,9.13333333333333
"29","nevada","NV","purple",1122990,537753,511319,73918,2730066,0.53,0.08,0.07,0.27,26589,840,36.6,0.478858227,0.455319282,0.065822492,"Democrat",3830,1,1,1,1,"A",4,28517,NA,NA,NA,NA,NA,NA,NA,NA,"4/20 10:00","4/20 14:08",158,NA,32347,32347,32347,32,2020-04-20,2020-04-20,2020-04-01,1,TRUE,34,30,0.933333333333333
"30","new hampshire","NH","purple",730628,348126,345598,36904,1319171,0.92,0.01,0.02,0.03,33134,878,41.5,0.476475032,0.473014995,0.050509972,"Democrat",1392,1,1,1,0,"B",3,12726,298,79,198,NA,NA,NA,NA,521,"4/19 09:00","4/20 14:48",41,198,14416,14118,14118,33,2020-04-19,2020-04-20,2020-03-27,1,TRUE,31,25.8,5.6
"31","new jersey","NJ","blue",3674893,2021756,1535513,117624,8832406,0.59,0.13,0.09,0.18,36027,1024,39.1,0.550153705,0.417838832,0.032007463,"Democrat",88806,1,1,1,1,"A",4,89251,NA,6986,NA,2018,NA,1594,NA,NA,"4/20 13:00","4/20 14:52",4377,NA,178057,178057,178057,34,2020-04-20,2020-04-20,2020-03-21,1,TRUE,32,41.6,2.86666666666667
"32","new mexico","NM","blue",783127,380724,315875,86528,2069706,0.4,0.02,0.01,0.47,23763,635,36.7,0.486158695,0.403350925,0.11049038,"Democrat",1845,1,1,1,1,"A",4,35197,NA,103,274,NA,NA,NA,NA,487,"4/19 18:46","4/20 14:47",55,274,37042,37042,37042,35,2020-04-19,2020-04-20,2020-03-24,1,TRUE,33,50.9333333333333,3.33333333333333
"33","new york","NY","blue",7046175,4143874,2640570,261731,19487053,0.58,0.14,0.08,0.18,32382,963,38.1,0.588102623,0.374752259,0.037145118,"Democrat",247512,1,1,1,1,"A",4,386349,NA,16103,57103,5016,NA,NA,NA,23887,"4/20 00:00","4/20 15:24",14347,57103,633861,633861,633861,36,2020-04-20,2020-04-20,2020-03-22,1,TRUE,35,47.6,5.06666666666667
"34","north carolina","NC","purple",4629471,2162074,2339603,127794,9651380,0.65,0.21,0.02,0.09,25284,602,37.6,0.467023986,0.505371564,0.02760445,"Republican",6764,1,1,1,1,"A",4,72720,NA,373,NA,NA,NA,NA,NA,NA,"4/20 10:35","4/20 14:59",179,NA,79484,79484,79484,37,2020-04-20,2020-04-20,2020-03-30,1,TRUE,28,37,2.8
"35","north dakota","ND","red",336968,93526,216133,27309,689781,0.88,0.01,0.01,0.02,29732,564,36.4,0.277551578,0.641405119,0.081043304,"Republican",627,1,1,1,0,"B",3,14120,NA,17,53,NA,NA,NA,NA,189,"4/20 13:00","4/20 14:58",13,53,14747,14747,14747,38,2020-04-20,2020-04-20,NA,0,TRUE,29,18.7333333333333,1.73333333333333
"36","ohio","OH","purple",5325395,2317001,2771984,236410,11549590,0.81,0.12,0.02,0.03,26046,562,39,0.435085285,0.520521764,0.044392951,"Republican",12516,1,1,0,1,"B",3,77920,NA,NA,2653,NA,798,NA,NA,NA,"4/20 14:00","4/20 14:10",509,2653,90436,90436,90436,39,2020-04-20,2020-04-20,2020-03-22,1,TRUE,36,47.6,4.33333333333333
"37","oklahoma","OK","red",1451056,419788,947934,83334,3785742,0.68,0.07,0.02,0.09,24208,525,36.2,0.289298277,0.653271824,0.057429899,"Republican",2680,1,1,0,1,"B",3,32966,NA,307,541,136,NA,NA,NA,1614,"4/20 00:00","4/20 14:15",143,541,35646,35646,35646,40,2020-04-20,2020-04-20,2020-03-28,1,TRUE,37,40.7333333333333,3.66666666666667
"38","oregon","OR","blue",1808575,934631,742506,131438,3868721,0.78,0.02,0.04,0.12,26809,749,38.7,0.516777574,0.410547531,0.072674896,"Democrat",1956,1,1,1,1,"A",4,38089,NA,303,465,74,NA,35,NA,NA,"4/20 11:00","4/20 16:12",75,465,40045,40045,40045,41,2020-04-20,2020-04-20,2020-03-23,1,TRUE,38,41.1333333333333,3.86666666666667
"39","pennsylvania","PA","purple",5970107,2844705,2912941,212461,12731381,0.79,0.1,0.03,0.06,28502,652,40.3,0.47649146,0.487921071,0.035587469,"Republican",33232,1,1,1,1,"A",4,129720,NA,2701,NA,NA,NA,659,NA,NA,"4/20 12:00","4/20 14:20",1204,NA,162952,162952,162952,42,2020-04-20,2020-04-20,2020-04-01,1,TRUE,39,52.4,6.93333333333333
"40","rhode island","RI","blue",450121,249902,179421,20798,1051695,0.76,0.05,0.03,0.13,30469,781,39.6,0.555188494,0.398606153,0.046205354,"Democrat",5090,1,1,1,0,"B",3,31990,NA,272,331,62,NA,45,NA,267,"4/20 12:00","4/20 14:29",155,331,37080,37080,37080,44,2020-04-20,2020-04-20,2020-03-28,1,TRUE,40,41.3333333333333,6.66666666666667
"41","south carolina","SC","red",2084444,849469,1143611,91364,4679602,0.64,0.28,0.01,0.05,23943,582,38.1,0.407527859,0.548640789,0.043831353,"Republican",4377,1,1,1,0,"B",3,36103,NA,NA,776,NA,NA,NA,NA,2063,"4/19 15:30","4/20 15:37",120,776,40480,40480,40480,45,2020-04-19,2020-04-20,2020-04-07,1,TRUE,41,38.6666666666667,4.93333333333333
"42","south dakota","SD","red",370047,117442,227701,24904,825198,0.84,0.01,0.01,0.03,25740,517,36.9,0.317370496,0.615329945,0.067299559,"Republican",1685,1,1,1,1,"A",4,10641,0,NA,87,NA,NA,NA,NA,709,"4/19 18:00","4/20 14:21",7,87,12326,12326,12326,46,2020-04-19,2020-04-20,NA,0,TRUE,42,23.2,2.46666666666667
"43","tennessee","TN","red",2484691,867110,1517402,100179,6402387,0.75,0.17,0.01,0.05,24409,568,38.2,0.34898102,0.610700485,0.040318494,"Republican",7238,1,1,1,1,"A",4,93451,NA,NA,730,NA,NA,NA,NA,3575,"4/20 15:00","4/20 15:38",152,730,100689,100689,100689,47,2020-04-20,2020-04-20,2020-03-31,1,TRUE,43,36.0666666666667,4.4
"44","texas","TX","red",8903237,3867816,4681590,353831,25639373,0.45,0.12,0.04,0.38,26019,688,33.8,0.434428063,0.5258301,0.039741838,"Republican",19458,1,1,1,1,"A",4,170936,NA,1411,NA,NA,NA,NA,NA,5706,"4/20 12:45","4/20 14:10",495,NA,190394,190394,190394,48,2020-04-20,2020-04-20,2020-04-02,1,TRUE,44,31.9333333333333,2.6
"45","utah","UT","red",852461,237241,397004,218216,2813673,0.8,0.01,0.02,0.13,23873,739,29.6,0.278301295,0.465715147,0.255983558,"Republican",3213,1,1,1,1,"A",4,65098,NA,NA,268,NA,NA,NA,NA,776,"4/20 15:00","4/20 15:07",28,268,68311,68311,68311,49,2020-04-20,2020-04-20,NA,0,TRUE,45,32.0666666666667,1.86666666666667
"46","vermont","VT","blue",291413,178179,95053,18181,625904,0.94,0.01,0.01,0.02,29167,754,42,0.611431199,0.326179683,0.062389118,"Democrat",816,1,1,1,1,"A",4,12165,NA,49,NA,NA,NA,NA,NA,15,"4/20 10:32","4/20 14:40",38,NA,12981,12981,12981,50,2020-04-20,2020-04-20,2020-03-25,1,TRUE,47,29.9333333333333,0
"47","virginia","VA","blue",3208899,1534487,1511956,162456,8100653,0.64,0.19,0.06,0.08,33493,910,37.5,0.478197351,0.471175939,0.05062671,"Democrat",8990,1,1,1,1,"A",4,47745,468,1296,1500,396,NA,237,NA,1324,"4/20 00:00","4/20 15:58",300,1500,57203,56735,56735,51,2020-04-20,2020-04-20,2020-03-30,1,TRUE,46,37.3333333333333,6
"48","washington","WA","blue",2765627,1523720,1043648,198259,6819579,0.72,0.03,0.07,0.11,30742,853,37.3,0.550949206,0.377363976,0.071686818,"Democrat",11790,0,1,0,1,"C",2,126852,NA,403,NA,122,NA,NA,NA,NA,"4/19 02:59","4/20 14:43",634,NA,138642,138642,138642,53,2020-04-19,2020-04-20,2020-03-23,1,TRUE,48,26.4666666666667,3.13333333333333
"49","west virginia","WV","red",708226,187457,486198,34571,1853619,0.93,0.03,0.01,0.01,22966,448,41.5,0.264685284,0.686501202,0.048813514,"Republican",902,1,1,1,0,"B",3,21253,NA,77,NA,37,NA,23,NA,290,"4/20 10:00","4/20 14:21",24,NA,22155,22155,22155,54,2020-04-20,2020-04-20,2020-03-24,1,TRUE,50,28.5333333333333,4.2
"50","wisconsin","WI","purple",2944620,1382210,1409467,152943,5706871,0.83,0.06,0.02,0.06,27523,636,38.7,0.469401824,0.478658367,0.051939809,"Republican",4499,1,1,1,1,"A",4,46603,237,406,1211,168,307,NA,NA,NA,"4/20 16:00","4/20 15:25",230,1211,51339,51102,51102,55,2020-04-20,2020-04-20,2020-03-25,1,TRUE,49,38.0666666666667,4.4
"51","wyoming","WY","red",248742,55949,174248,18545,570134,0.85,0.01,0.01,0.09,28902,647,36.8,0.224927837,0.700517002,0.074555162,"Republican",313,1,1,1,1,"A",4,7073,NA,19,51,NA,NA,NA,NA,233,"4/19 00:00","4/20 15:31",2,51,7386,7386,7386,56,2020-04-19,2020-04-20,2020-03-28,1,TRUE,51,39.5333333333333,2.53333333333333
