State,StayAtHome_date,Quarantine_Yes
AL,04/04/2020,1
AK,03/28/2020,1
AZ,03/30/2020,1
AR,#N/A,0
CA,03/19/2020,1
CO,03/26/2020,1
CT,03/23/2020,1
DE,03/24/2020,1
FL,04/03/2020,1
GA,04/03/2020,1
HI,03/25/2020,1
ID,03/25/2020,1
IL,03/21/2020,1
IN,03/24/2020,1
IA,#N/A,0
KS,03/30/2020,1
KY,03/26/2020,1
LA,03/23/2020,1
ME,04/02/2020,1
MD,03/30/2020,1
MA,03/24/2020,1
MI,03/24/2020,1
MN,03/27/2020,1
MS,04/03/2020,1
MO,04/03/2020,1
MT,03/28/2020,1
NE,#N/A,0
NV,04/01/2020,1
NH,03/27/2020,1
NJ,03/21/2020,1
NM,03/24/2020,1
NY,03/22/2020,1
NC,03/30/2020,1
ND,#N/A,0
OH,03/22/2020,1
OK,03/28/2020,1
OR,03/23/2020,1
PA,04/01/2020,1
RI,03/28/2020,1
SC,04/07/2020,1
SD,#N/A,0
TN,03/31/2020,1
TX,04/02/2020,1
UT,#N/A,0
VT,03/25/2020,1
VA,03/30/2020,1
WA,03/23/2020,1
WV,03/24/2020,1
WI,03/25/2020,1
WY,03/28/2020,1